TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price,Pending Quantity,Total Quantity,Add to Quantity,TCG Marketplace Price,My Store Reserve Quantity,My Store Price,Photo URL,Rs,Rc,Value,Card ID
7750109,YuGiOh,Battles of Legend: Chapter 1,"Lyla, Lightsworn Sorceress",,BLC1-EN055,Common,Lightly Played 1st Edition,0.4,0,0,0,,1,0.4,,,,0.00181148771662,0.424000024796,"('BLC1',)",8e35d6dd2c14419d8111c245e4275450
5035946,YuGiOh,Egyptian God Deck: Slifer the Sky Dragon,Breaker the Magical Warrior,,EGS1-EN007,Common,Lightly Played 1st Edition,0.59,0,0,0,,1,0.59,,,,0.0170966647565,0.518000006676,"('EGS1',)",8ed03ef9fd16467a9eccc2250c5c43d0
3746288,YuGiOh,Legendary Collection Kaiba,Deck Devastation Virus,,LCKC-EN047,Ultra Rare,Lightly Played Unlimited,1.15,0,0,0,,1,1.15,,,,0.024782165885,0.555000007153,"('LCKC',)",66bd081e2aff4c2eb8bdd332cd067660
6665153,YuGiOh,Magnificent Mavens,Anti-Spell Fragrance,,MAMA-EN092,Ultra Rare,Lightly Played 1st Edition,0.36,0,0,0,,1,0.36,,,,0.00129044055939,0.662000000477,"('MAMA',)",f0139c0ff6224b56a0e824dfe4479027
1253340,YuGiOh,2014 Mega-Tins Mega Pack,Sinister Yorishiro,,MP14-EN182,Ultra Rare,Lightly Played 1st Edition,0.53,0,0,0,,1,0.53,,,,0.00251611694694,0.613999962807,"('MP14',)",b0f89d1e7dad4d209760ebd6aaea7cf9
7419872,YuGiOh,25th Anniversary Tin: Dueling Heroes Mega Pack,Melffy Pinny,,MP23-EN126,Common,Lightly Played 1st Edition,0.13,0,0,0,,1,0.13,,,,0.0442353188992,0.366999983788,"('MP23',)",cf46d1ce501348f5b261073b523cc1df
7017145,YuGiOh,Metal Raiders (25th Anniversary Edition),Dream Clown,,MRD-EN080,Common,Lightly Played Unlimited,0.19,0,0,0,,1,0.19,,,,0.00384117895737,0.341000020504,"('MRD',)",4882fd25aa3a490fb7f90085c3c9491c
572261,YuGiOh,Magic Ruler,Ryu-Ran,,MRL-070,Common,Lightly Played Unlimited,0.29,0,0,0,,1,0.29,,,,0.120088718832,0.495000004768,"('MRL',)",3d6bf62fac6d437ab9c974e5d7c8ccf5
7285609,YuGiOh,OTS Tournament Pack 22,Herald of the Abyss,,OP22-EN025,Common,Lightly Played Unlimited,0.12,0,0,0,,1,0.12,,,,0.214128807187,0.253000020981,"('OP22',)",addb1824eaff467bbe98a6cffdbd93ad
9030103,YuGiOh,Phantom Revenge,Synchro Transmission,,PHRE-EN060,Rare,Lightly Played 1st Edition,0.07,0,0,0,,1,0.07,,,,0.0219770930707,0.631000041962,"('PHRE',)",388de61ab9914feb9a7c6cc8cd4902c6
3979834,YuGiOh,Savage Strike,Red Rising Dragon,,SAST-EN099,Common,Lightly Played Unlimited,0.36,0,0,0,,1,0.36,,,,0.162887066603,0.444999992847,"('SAST',)",f2252f2758744d8a99020c9da6b523b7
4055227,YuGiOh,Speed Duel: Attack from the Deep,Magician of Faith,,SBAD-EN001,Ultra Rare,Lightly Played 1st Edition,8.94,0,0,0,,1,8.94,,,,0.00288532674313,0.106000006199,"('SBAD',)",83ab3427ec5f4351a2b6d87e8de5e632
541500,YuGiOh,Structure Deck: Dinosaur's Rage,Jurassic World,,SD09-EN019,Common,Lightly Played 1st Edition,0.67,0,0,0,,1,0.67,,,,0.262592762709,0.67199999094,"('SD09',)",cd5a9dcfa075464088fc50592ecdfd1f
541483,YuGiOh,Structure Deck: Dinosaur's Rage,Kabazauls,,SD09-EN002,Common,Lightly Played 1st Edition,0.24,0,0,0,,1,0.24,,,,0.259918272495,0.555000007153,"('SD09',)",253fa68dbf774a4da861fe6720c8ccbc
541505,YuGiOh,Structure Deck: Dinosaur's Rage,Megamorph,,SD09-EN024,Common,Lightly Played 1st Edition,0.4,0,0,0,,1,0.4,,,,0.0726202726364,0.646000027657,"('SD09',)",fa26ae437dcd4704b3ca9ff2224a3055
541484,YuGiOh,Structure Deck: Dinosaur's Rage,Sabersaurus,,SD09-EN003,Common,Lightly Played 1st Edition,0.2,0,0,0,,1,0.2,,,,0.15393230319,0.450999975204,"('SD09',)",5959e58acfad4b009842da658172f3b4
541501,YuGiOh,Structure Deck: Dinosaur's Rage,Sebek's Blessing,,SD09-EN020,Common,Lightly Played 1st Edition,0.39,0,0,0,,1,0.39,,,,0.270543992519,0.580999970436,"('SD09',)",e8e50af3271f4e6e868643f9332856ff
541537,YuGiOh,Structure Deck: Dragon's Roar,Reload,,SD1-EN019,Common,Lightly Played 1st Edition,0.61,0,0,0,,1,0.61,,,,0.0114205153659,0.416999995708,"('SD1',)",b0d111c794894814b101cb2f96c7040c
574517,YuGiOh,Structure Deck: Machine Re-Volt,Ancient Gear,,SD10-EN015,Common,Lightly Played Unlimited,0.74,0,0,0,,1,0.74,,,,0.152650773525,0.366999983788,"('SD10',)",1aa7f7d47d2040b4ade25f6cb6d7a567
