TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price,Pending Quantity,Total Quantity,Add to Quantity,TCG Marketplace Price,My Store Reserve Quantity,My Store Price,Photo URL,Rs,Rc,Value,Card ID
9184018,YuGiOh,Legendary Modern Decks 2026,Called by the Grave - L26D-ENX20,,L26D-ENX20,Common,Lightly Played 1st Edition,0.18,0,0,0,,1,0.18,,,,1,0.29699999094,"('L26D',)",8eec1cf930a94055825652cd901c68e4
5043979,YuGiOh,The Lost Art Promotion,"Celestia, Lightsworn Angel",,LART-EN036,Ultra Rare,Lightly Played Limited,2.71,0,0,0,,1,2.71,,,,0.0269807502627,0.674000024796,"('LART',)",0d5d2cee75064ff790bb148f03cea414
571933,YuGiOh,Legendary Collection 2,"Jain, Lightsworn Paladin",,LCGX-EN245,Ultra Rare,Lightly Played Unlimited,5.12,0,0,0,,1,5.12,,,,0.0363129675388,0.602999985218,"('LCGX',)",4e80bebb895b4033ae6fdd7adc2124f2
542357,YuGiOh,The Legend of Blue Eyes White Dragon,Mountain,,LOB-048,Common,Lightly Played 1st Edition,2.65,0,0,0,,1,2.65,,,,1,0.532000005245,"('LOB',)",c18c2de089464802ba0cb2870b557321
3324983,YuGiOh,The Dark Side of Dimensions Movie Pack,Neo Blue-Eyes Ultimate Dragon,,MVP1-EN001,Ultra Rare,Lightly Played Unlimited,3.27,0,0,0,,1,3.27,,,,0.00439752731472,0.407999992371,"('MVP1',)",e6c15594de9d44a8b21cce57dfed6881
5242756,YuGiOh,OTS Tournament Pack 17,Power Bond,,OP17-EN004,Super Rare,Lightly Played Unlimited,0.6,0,0,0,,1,0.6,,,,0.00787924323231,0.489000022411,"('OP17',)",6b77547e1f3f4bae9e7990f185cdd030
572991,YuGiOh,Premium Pack 1,Metalmorph,,PP01-EN014,Super Rare,Lightly Played Unlimited,0.4,0,0,0,,1,0.4,,,,0.0170323569328,0.70300000906,"('PP01',)",4d0160f00d6540489eb63e5b106d8cfb
3967478,YuGiOh,Savage Strike,Legendary Secret of the Six Samurai,,SAST-EN093,Common,Lightly Played 1st Edition,0.37,0,0,0,,1,0.37,,,,0.34371599555,0.559000015259,"('SAST',)",78f4b62827464ca18b976c015bf7ca5c
541498,YuGiOh,Structure Deck: Dinosaur's Rage,Big Evolution Pill,,SD09-EN017,Common,Lightly Played 1st Edition,0.22,0,0,0,,1,0.22,,,,0.207698389888,0.565999984741,"('SD09',)",7b3fb9216e4041cb88f44b6c5da1131f
541503,YuGiOh,Structure Deck: Dinosaur's Rage,Mesmeric Control,,SD09-EN022,Common,Lightly Played 1st Edition,0.36,0,0,0,,1,0.36,,,,0.342721819878,0.250999987125,"('SD09',)",ad2709e23725493486f0c9726d8eee88
541499,YuGiOh,Structure Deck: Dinosaur's Rage,Tail Swipe,,SD09-EN018,Common,Lightly Played 1st Edition,0.22,0,0,0,,3,0.22,,,,0.248313710093,0.495000004768,"('SD09',)",13234c5049ab4bb38d39703ca6747392
541542,YuGiOh,Structure Deck: Dragon's Roar,Dragon's Rage,,SD1-EN024,Common,Lightly Played 1st Edition,0.74,0,0,0,,1,0.74,,,,0.168908029795,0.419000029564,"('SD1',)",72f1a37eb5d24e9a8cd360653d8a03ff
541531,YuGiOh,Structure Deck: Dragon's Roar,Premature Burial,,SD1-EN013,Common,Lightly Played 1st Edition,0.63,0,0,0,,2,0.63,,,,0.125643700361,0.506000041962,"('SD1',)",83776977ca304dcb89f0fe80b6a21af7
574511,YuGiOh,Structure Deck: Machine Re-Volt,Cannon Soldier,,SD10-EN009,Common,Lightly Played Unlimited,0.37,0,0,0,,1,0.37,,,,0.197359472513,0.448000013828,"('SD10',)",fc9c7885f06944b08fca396e081aa643
541682,YuGiOh,Structure Deck: Machine Re-Volt,Covering Fire,,SD10-EN036,Common,Lightly Played 1st Edition,0.13,0,0,0,,1,0.13,,,,0.224855691195,0.661000013351,"('SD10',)",2f2ad54df9b94f2caae7d4388aadf24a
541475,YuGiOh,Structure Deck: Blaze of Destruction,Necklace of Command,,SD3-EN025,Common,Lightly Played 1st Edition,0.11,0,0,0,,1,0.11,,,,0.176457598805,0.449000000954,"('SD3',)",200444b5187749e6b9186b8bb7b13f7c
541454,YuGiOh,Structure Deck: Blaze of Destruction,UFO Turtle,,SD3-EN004,Common,Lightly Played 1st Edition,0.31,0,0,0,,1,0.31,,,,0.208590060472,0.537000000477,"('SD3',)",eea81430b4b444f592073a4679a7fdc5
541459,YuGiOh,Structure Deck: Blaze of Destruction,Ultimate Baseball Kid,,SD3-EN009,Common,Lightly Played 1st Edition,0.35,0,0,0,,1,0.35,,,,0.00683070905507,0.450999975204,"('SD3',)",9aa64a1dcc7f4597bc65190d648223d2
541554,YuGiOh,Structure Deck: Fury from the Deep,Fenrir,,SD4-EN008,Common,Lightly Played 1st Edition,0.23,0,0,0,,1,0.23,,,,0.244492739439,0.516000032425,"('SD4',)",86f649cc9c9947e1a0f500464450fe4b
541787,YuGiOh,Structure Deck: Warrior's Triumph,Swords of Concealing Light,,SD5-EN031,Common,Lightly Played 1st Edition,0.37,0,0,0,,3,0.37,,,,0.15459510684,0.631999969482,"('SD5',)",a0e6345966aa4501af6affc94dcad176
541734,YuGiOh,Structure Deck: Spellcaster's Judgment,Chaos Sorcerer,,SD6-EN012,Common,Lightly Played 1st Edition,0.66,0,0,0,,2,0.66,,,,0.141774311662,0.626999974251,"('SD6',)",88fa0fe1b0674ab59e8f5ac64efe5134
541732,YuGiOh,Structure Deck: Spellcaster's Judgment,Royal Magical Library,,SD6-EN010,Common,Lightly Played 1st Edition,0.41,0,0,0,,1,0.41,,,,0.143697828054,0.777999997139,"('SD6',)",b3710078820748bc9f2312dab2bf55f9
541601,YuGiOh,Structure Deck: Invincible Fortress,Ectoplasmer,,SD7-EN023,Common,Lightly Played 1st Edition,0.35,0,0,0,,2,0.35,,,,0.134922653437,0.634999990463,"('SD7',)",c84022b6c7724fbdb4eb3243f5a778bd
541604,YuGiOh,Structure Deck: Invincible Fortress,Waboku,,SD7-EN026,Common,Lightly Played 1st Edition,0.66,0,0,0,,1,0.66,,,,0.102111890912,0.631999969482,"('SD7',)",c9639fe3ce854b519f97d68909a9138c
574483,YuGiOh,Structure Deck: Lord of the Storm,Harpie's Pet Baby Dragon,,SD8-EN017,Common,Lightly Played Unlimited,0.5,0,0,0,,1,0.5,,,,0.0986563786864,0.56400001049,"('SD8',)",a72f56a6faa04b0d9369b0d25cdc36b0
5484583,YuGiOh,Structure Deck: Albaz Strike,Albion the Branded Dragon,,SDAZ-EN046,Common,Lightly Played 1st Edition,0.29,0,0,0,,1,0.29,,,,0.170358359814,0.337999999523,"('SDAZ',)",f8394b3bf2454f2eb3d83877ea53da59
5484408,YuGiOh,Structure Deck: Albaz Strike,Artifact Scythe,,SDAZ-EN011,Common,Lightly Played 1st Edition,0.15,0,0,0,,2,0.15,,,,0.334641247988,0.306999981403,"('SDAZ',)",abf141822e034a68a1d7a7a418430d59
5484533,YuGiOh,Structure Deck: Albaz Strike,Back to the Front,,SDAZ-EN036,Common,Lightly Played 1st Edition,0.11,0,0,0,,2,0.11,,,,0.110245734453,0.652999997139,"('SDAZ',)",c7fa9c1eb06242cba9a36aa68f2e4a87
5484418,YuGiOh,Structure Deck: Albaz Strike,Black Dragon Collapserpent,,SDAZ-EN013,Common,Lightly Played 1st Edition,0.12,0,0,0,,1,0.12,,,,0.20706383884,0.416000008583,"('SDAZ',)",d2e2e4f139304c34bf88221f306a4db2
5484468,YuGiOh,Structure Deck: Albaz Strike,Branded Bond,,SDAZ-EN023,Common,Lightly Played 1st Edition,0.06,0,0,0,,1,0.06,,,,0.199841976166,0.587999999523,"('SDAZ',)",034f5eed472146bb9751261d70fec58e
5484463,YuGiOh,Structure Deck: Albaz Strike,Branded in White,,SDAZ-EN022,Common,Lightly Played 1st Edition,0.08,0,0,0,,1,0.08,,,,0.202056393027,0.53100001812,"('SDAZ',)",613b5a3c20bb4272a8cb4b5fe1b048df
5484573,YuGiOh,Structure Deck: Albaz Strike,Brigrand the Glory Dragon,,SDAZ-EN044,Common,Lightly Played 1st Edition,0.13,0,0,0,,3,0.13,,,,0.243845149875,0.464999973774,"('SDAZ',)",57588dcaaf6d4f8496b2819e8b64c166
5484498,YuGiOh,Structure Deck: Albaz Strike,Called by the Grave,,SDAZ-EN029,Common,Lightly Played 1st Edition,0.53,0,0,0,,2,0.53,,,,0.0901603996754,0.416000008583,"('SDAZ',)",87f62d55e47949959116555dbb40d217
5484503,YuGiOh,Structure Deck: Albaz Strike,Dark Ruler No More,,SDAZ-EN030,Common,Lightly Played 1st Edition,0.56,0,0,0,,6,0.56,,,,0.142208859324,0.651000022888,"('SDAZ',)",4c49f30a9be54ae7864146cdeea99a41
5484548,YuGiOh,Structure Deck: Albaz Strike,Dimensional Barrier,,SDAZ-EN039,Common,Lightly Played 1st Edition,0.27,0,0,0,,4,0.27,,,,0.12281178683,0.577000021935,"('SDAZ',)",912905dd27b34146a0f99f3283a08827
5484383,YuGiOh,Structure Deck: Albaz Strike,"Dogmatika Fleurdelis, the Knighted",,SDAZ-EN006,Common,Lightly Played 1st Edition,0.15,0,0,0,,1,0.15,,,,0.249262064695,0.638999998569,"('SDAZ',)",492baa63dd144644b47064b694bfcee8
